epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6375.25,1.08736,0.55117,0.92303,0.9127,0.89491,0.946,0.66024,0.91313,0.4697,0.88137,0.005842,0.005842,0.005842
44,6512.35,1.07226,0.54575,0.91873,0.91136,0.8895,0.9438,0.65931,0.90162,0.46602,0.87962,0.005743,0.005743,0.005743
45,6651.6,1.07398,0.54519,0.91979,0.91402,0.88793,0.94409,0.65918,0.90158,0.46622,0.87936,0.005644,0.005644,0.005644
46,6789.93,1.06964,0.54403,0.91813,0.915,0.89347,0.94651,0.66431,0.89206,0.45917,0.87697,0.005545,0.005545,0.005545
47,6927.41,1.06631,0.54228,0.91865,0.91682,0.89226,0.94693,0.66784,0.88203,0.45827,0.87582,0.005446,0.005446,0.005446
48,7066.66,1.05868,0.53723,0.91485,0.91034,0.90511,0.94809,0.67136,0.87242,0.4536,0.87395,0.005347,0.005347,0.005347
49,7204.46,1.05471,0.53662,0.91588,0.91632,0.89827,0.94981,0.67386,0.87337,0.45368,0.87356,0.005248,0.005248,0.005248
50,7342.95,1.05305,0.5354,0.91368,0.91261,0.90102,0.94792,0.67407,0.86928,0.45297,0.87259,0.005149,0.005149,0.005149
51,7481.67,1.04532,0.53174,0.91169,0.91774,0.90208,0.95011,0.67667,0.86498,0.45034,0.87112,0.00505,0.00505,0.00505
52,7618.4,1.04433,0.53115,0.91217,0.91554,0.90591,0.95019,0.67846,0.85874,0.44722,0.87007,0.004951,0.004951,0.004951
53,7758.62,1.04063,0.52968,0.91063,0.91515,0.90561,0.95096,0.6797,0.85588,0.44537,0.86928,0.004852,0.004852,0.004852
54,7896.56,1.03548,0.52751,0.90859,0.92256,0.89836,0.95186,0.68026,0.85161,0.44338,0.86834,0.004753,0.004753,0.004753
55,8034.26,1.0285,0.52391,0.90894,0.91989,0.89839,0.95183,0.68241,0.84675,0.44095,0.86756,0.004654,0.004654,0.004654
56,8174.07,1.02692,0.52285,0.90775,0.92389,0.89896,0.95209,0.6825,0.84489,0.44059,0.86753,0.004555,0.004555,0.004555
57,8310.95,1.01921,0.52023,0.90642,0.92473,0.89946,0.95255,0.68581,0.83408,0.43633,0.86531,0.004456,0.004456,0.004456
58,8449.87,1.01474,0.51677,0.90722,0.92242,0.90397,0.95281,0.68735,0.83138,0.43456,0.86481,0.004357,0.004357,0.004357
59,8589.07,1.01396,0.51765,0.90606,0.92418,0.90043,0.95305,0.68983,0.82627,0.43369,0.86365,0.004258,0.004258,0.004258
60,8726.87,1.00587,0.51391,0.90141,0.92128,0.90228,0.95265,0.69112,0.82483,0.43216,0.86301,0.004159,0.004159,0.004159
61,8865.43,1.00359,0.51216,0.90284,0.9279,0.89887,0.9534,0.68968,0.82394,0.43145,0.86264,0.00406,0.00406,0.00406
62,9002.98,1.00666,0.51358,0.90363,0.92888,0.9012,0.95406,0.69516,0.8195,0.42988,0.8619,0.003961,0.003961,0.003961
63,9140.78,1.00016,0.51002,0.90132,0.93169,0.8998,0.9544,0.69529,0.81788,0.42862,0.8614,0.003862,0.003862,0.003862
64,9279.81,0.99661,0.50916,0.90184,0.9326,0.89848,0.95458,0.69646,0.81656,0.42781,0.86051,0.003763,0.003763,0.003763
65,9416.95,0.99078,0.5071,0.90013,0.93134,0.90119,0.95554,0.69944,0.80977,0.42496,0.85947,0.003664,0.003664,0.003664
66,9556.27,0.98748,0.50442,0.89685,0.93321,0.90214,0.95622,0.69911,0.80744,0.42344,0.859,0.003565,0.003565,0.003565
67,9695.07,0.98752,0.50387,0.89922,0.93141,0.90335,0.95647,0.70115,0.80452,0.42098,0.85841,0.003466,0.003466,0.003466
